,Term,StatedMonthlyIncome,LoanOriginalAmount,BorrowerAPR
8951,60,4166.666667,14500,0.20436
8952,36,4470.75,8000,0.16717
8953,36,5416.666667,4000,0.30285
8954,60,3083.333333,15000,0.22283
8955,60,4233.333333,15000,0.2214
8956,36,2416.666667,2000,0.38084
8957,36,2833.333333,10000,0.16324
8958,60,6250.0,5000,0.24856
8959,60,9833.333333,9000,0.1831
8960,36,5333.333333,7500,0.19462
8961,36,6333.333333,10000,0.10692
8962,36,3255.666667,3000,0.24457
8963,60,12500.0,25000,0.18852
8964,60,4900.0,9000,0.25102
8965,36,7083.333333,4000,0.29537
8966,36,11250.0,18000,0.12691
8967,60,7250.0,25000,0.20398
8968,36,6250.0,5000,0.17722
8969,36,8166.666667,15000,0.13301
8970,36,4282.166667,4000,0.2878
8971,36,2250.0,8000,0.2706
8972,36,4250.0,10000,0.23276
8973,60,9583.333333,10000,0.20081
8974,36,3250.0,1800,0.18759
8975,60,5583.333333,14000,0.2004
8976,60,5916.666667,25000,0.27554
8977,60,5000.0,15000,0.14147
8978,60,4166.666667,3500,0.17522
8979,36,3666.666667,13000,0.18163
8980,60,7803.333333,8000,0.31375
8981,36,4328.166667,10000,0.18725
8982,36,2500.0,4000,0.29414
8983,36,16666.666667,10000,0.08935
8984,36,8500.0,35000,0.17601
8985,60,4583.333333,10000,0.26877
8986,36,2083.333333,5000,0.15713
8987,36,5239.583333,3000,0.32576
8988,36,2000.0,7500,0.29265
8989,60,6875.0,10000,0.22063
8990,36,11666.666667,20000,0.1899
8991,36,9250.0,20091,0.15833
8992,36,2333.333333,4000,0.24246
8993,36,2491.666667,3000,0.2878
8994,36,2500.0,3001,0.13202
8995,36,3700.0,4000,0.30285
8996,60,4166.666667,2000,0.15449
8997,36,7600.333333,11000,0.13068
8998,36,10000.0,15000,0.19501
8999,60,5000.0,15000,0.19323
9000,36,4000.0,8000,0.16717
9001,36,3333.333333,4500,0.22744
9002,60,6083.333333,17000,0.22283
9003,36,5054.666667,6000,0.24758
9004,36,5833.333333,20000,0.15223
9005,36,12500.0,28000,0.15324
9006,36,4083.333333,4000,0.33553
9007,36,750.0,2000,0.12626
9008,36,2666.666667,4000,0.32446
9009,60,6000.0,20000,0.12113
9010,36,8083.333333,3500,0.14857
9011,60,7921.333333,4000,0.31848
9012,36,1975.666667,10000,0.26681
9013,36,3166.666667,4543,0.22872
9014,60,2416.666667,4000,0.14453
9015,36,4833.333333,5000,0.20735
9016,36,5083.333333,15475,0.2685
9017,36,6333.333333,20000,0.09434
9018,36,4166.666667,15000,0.18479
9019,36,9500.0,8000,0.17151
9020,36,4500.0,2800,0.38723
9021,36,5416.666667,9500,0.08331
9022,36,4139.083333,10000,0.17219
9023,36,2750.0,2500,0.21434
9024,36,6316.666667,2000,0.18633
9025,36,9360.0,25000,0.15324
9026,36,5000.0,7000,0.22354
9027,36,2075.0,6500,0.14903
9028,60,5000.0,17497,0.26528
9029,36,3750.0,3000,0.35132
9030,36,4333.333333,4000,0.30856
9031,60,7279.166667,2000,0.22693
9032,36,10000.0,10000,0.16115
9033,36,5625.0,15000,0.22456
9034,60,6750.0,10000,0.20808
9035,36,2953.25,9900,0.14419
9036,36,4116.666667,15000,0.20032
9037,36,1000.0,7500,0.2951
9038,36,6666.666667,3000,0.16005
9039,36,12500.0,33411,0.09434
9040,36,20833.333333,1500,0.28838
9041,60,7916.666667,7000,0.31375
9042,36,6250.0,15000,0.1802
9043,36,8166.666667,2500,0.08182
9044,36,3750.0,4000,0.22362
9045,60,3333.333333,10500,0.20358
9046,36,1483.333333,2000,0.22428
9047,36,5000.0,2000,0.25013
9048,36,3166.666667,1000,0.30962
9049,36,7500.0,15000,0.13189
9050,60,7083.333333,15000,0.24036
9051,36,3750.0,4500,0.35643
9052,36,4333.333333,1500,0.27276
9053,36,3500.0,2700,0.37453
9054,36,5125.0,9500,0.10592
9055,36,4166.666667,2500,0.24753
9056,36,5333.333333,4000,0.30182
9057,60,2416.666667,4000,0.18197
9058,36,5666.666667,6700,0.29588
9059,36,3583.333333,1500,0.27712
9060,36,6471.333333,9000,0.21025
9061,60,5904.416667,7000,0.24754
9062,36,4333.333333,6000,0.2129
9063,36,5000.0,15000,0.12528
9064,36,2342.0,4000,0.35356
9065,36,6250.0,4000,0.35797
9066,36,3333.333333,4000,0.35356
9067,36,4583.333333,3500,0.15833
9068,36,4541.666667,8000,0.19859
9069,36,3466.666667,3300,0.37453
9070,36,4270.916667,3001,0.16717
9071,36,5000.0,2500,0.24753
9072,60,4166.666667,12500,0.25861
9073,36,2166.666667,2000,0.35797
9074,36,1250.0,1000,0.09234
9075,60,8416.666667,35000,0.15357
9076,36,5083.333333,4000,0.25013
9077,36,6875.0,3000,0.13697
9078,60,3333.333333,10000,0.17982
9079,36,5166.666667,7000,0.13189
9080,36,6250.0,15000,0.19859
9081,36,10911.25,4000,0.35356
9082,36,6916.666667,12000,0.12916
9083,36,3500.0,1000,0.37453
9084,60,10000.0,20000,0.16294
9085,60,3333.333333,12000,0.23052
9086,60,3500.0,10000,0.25102
9087,36,5033.333333,9000,0.11347
9088,36,7000.0,3000,0.15713
9089,36,4583.333333,15000,0.21945
9090,60,7833.333333,4000,0.29341
9091,60,1833.333333,7926,0.23872
9092,12,4480.0,2000,0.18192
9093,36,4083.333333,10000,0.14751
9094,36,7583.333333,15000,0.25013
9095,60,4916.666667,13000,0.14965
9096,60,3750.0,8500,0.13942
9097,36,6833.333333,6000,0.15211
9098,36,5341.416667,20000,0.19859
9099,36,11419.083333,20000,0.15462
9100,36,2083.333333,5000,0.17359
9101,36,3200.0,2500,0.20735
9102,36,2750.0,4000,0.27817
9103,36,5416.666667,15000,0.09534
9104,60,9916.666667,15000,0.20593
9105,36,2990.0,2500,0.29776
9106,36,3333.333333,4000,0.26895
9107,36,7166.666667,3000,0.24983
9108,60,4583.333333,5000,0.23462
9109,36,2500.0,5000,0.37453
9110,36,2083.333333,3000,0.22135
9111,60,6583.333333,15000,0.23318
9112,36,4333.333333,4000,0.32538
9113,36,4416.666667,12500,0.2129
9114,60,6250.0,10000,0.21566
9115,60,4250.0,10000,0.20081
9116,60,6666.666667,25000,0.21935
9117,60,5000.0,10000,0.30337
9118,36,1863.333333,2000,0.12106
9119,36,5414.416667,5500,0.23438
9120,36,4166.666667,4000,0.28339
9121,36,4166.666667,1000,0.37453
9122,36,4333.333333,6000,0.30899
9123,36,2605.166667,2500,0.28922
9124,36,3916.666667,2000,0.10033
9125,60,12083.333333,15000,0.17174
9126,36,4000.0,13000,0.17359
9127,60,6416.666667,15000,0.22693
9128,36,6416.666667,15000,0.09837
9129,36,4166.666667,4500,0.13138
9130,36,4166.666667,4000,0.35356
9131,36,2083.333333,1000,0.2565
9132,36,4866.666667,3900,0.11296
9133,36,3916.666667,13500,0.10692
9134,60,4000.0,15000,0.18555
9135,36,3083.333333,6000,0.13697
9136,36,11000.0,2000,0.34887
9137,36,3683.333333,2000,0.37453
9138,36,2732.416667,9000,0.16095
9139,36,3527.333333,2550,0.29776
9140,60,5168.666667,15000,0.22908
9141,36,2000.0,5000,0.11696
9142,36,3500.0,5500,0.18275
9143,36,33333.333333,25000,0.2354
9144,36,1248.0,4000,0.24246
9145,12,8750.0,6000,0.35843
9146,36,9288.333333,4500,0.2325
9147,36,7083.333333,5000,0.31053
9148,36,13500.0,17000,0.07922
9149,36,6666.666667,12000,0.13799
9150,36,4532.666667,15000,0.23748
9151,36,16666.666667,1000,0.30709
9152,36,2083.333333,1725,0.11701
9153,36,2166.666667,1500,0.12562
9154,36,2000.0,8500,0.15713
9155,36,3500.0,10000,0.20524
9156,36,2666.666667,4700,0.20735
9157,36,4800.0,3800,0.28655
9158,36,23093.666667,25000,0.19898
9159,36,4000.0,4000,0.30564
9160,60,8833.333333,10000,0.29567
9161,36,2600.0,1000,0.2831
9162,60,2666.666667,14000,0.32958
9163,60,4083.333333,13000,0.2968
9164,36,3306.333333,15000,0.18224
9165,60,2916.666667,20000,0.23872
9166,36,5503.0,15000,0.18633
9167,36,13750.0,20000,0.08325
9168,36,2500.0,3000,0.2129
9169,36,3500.0,1600,0.30449
9170,36,5416.666667,4000,0.32446
9171,36,0.0,2500,0.36438
9172,60,6750.0,8000,0.16662
9173,36,4583.333333,15000,0.14714
9174,60,5666.666667,15000,0.22693
9175,36,5416.666667,2000,0.28851
9176,36,3750.0,5500,0.24758
9177,36,10000.0,2000,0.10335
9178,36,3333.333333,10000,0.19236
9179,36,4583.333333,2500,0.12782
9180,36,3500.0,4650,0.25506
9181,60,5416.666667,20000,0.17522
9182,36,1958.333333,1200,0.24571
9183,36,12083.333333,6000,0.2399
9184,36,3333.333333,2999,0.22237
9185,36,3750.0,1000,0.40315
9186,60,10912.083333,35000,0.15357
9187,36,6333.333333,15000,0.22875
9188,36,5833.333333,12000,0.15833
9189,36,5208.333333,2500,0.19196
9190,60,4583.333333,13000,0.29341
9191,36,3333.333333,2000,0.30564
9192,36,5833.333333,15000,0.09333
9193,36,1203.75,2550,0.29776
9194,36,2850.0,9999,0.13303
9195,60,6200.0,5000,0.24856
9196,36,4166.666667,3800,0.34661
9197,36,3750.0,1500,0.3505
9198,36,7833.333333,10000,0.15813
9199,36,5000.0,4000,0.35797
9200,36,5166.666667,7000,0.08641
9201,36,4166.666667,1000,0.07673
9202,36,3916.666667,4000,0.35797
9203,36,5833.333333,8500,0.25013
9204,36,8500.0,5000,0.14167
9205,60,5250.0,12000,0.21566
9206,60,8750.0,10000,0.18197
9207,36,5708.333333,3000,0.17018
9208,36,5833.333333,12000,0.16732
9209,36,3876.75,4000,0.25757
9210,36,2916.666667,4000,0.20735
9211,36,3750.0,8000,0.20053
9212,36,2376.583333,4000,0.28488
9213,36,6447.333333,2600,0.14132
9214,36,12250.0,5000,0.25259
9215,60,6083.333333,9000,0.31169
9216,36,4208.333333,4000,0.35797
9217,60,5000.0,6500,0.16713
9218,36,4418.333333,8500,0.18479
9219,60,4416.666667,15000,0.16662
9220,36,5354.666667,2500,0.23748
9221,60,4166.666667,8500,0.11695
9222,36,3000.0,1100,0.16635
9223,36,2166.666667,1000,0.24891
9224,36,1166.666667,4000,0.32446
9225,36,5633.333333,25000,0.15713
9226,60,7070.416667,15000,0.27462
9227,36,4033.333333,1500,0.37453
9228,36,18920.0,25000,0.17219
9229,36,7500.0,8500,0.1709
9230,36,3908.333333,6000,0.32277
9231,36,5598.0,10000,0.23438
9232,60,4908.333333,4000,0.27637
9233,36,5000.0,3000,0.27477
9234,36,11666.666667,20000,0.12081
9235,36,2250.083333,3000,0.34045
9236,36,4833.333333,3000,0.28974
9237,60,4166.666667,25000,0.15936
9238,36,5000.0,5000,0.15223
9239,36,2000.0,3200,0.2706
9240,60,6250.0,16500,0.20593
9241,60,6708.333333,13000,0.16499
9242,60,10000.0,21000,0.16499
9243,36,3583.333333,1000,0.07607
9244,36,3000.0,3500,0.35676
9245,60,5241.666667,12000,0.20081
9246,36,2333.333333,4000,0.18479
9247,36,10541.666667,9498,0.12081
9248,36,1916.666667,4000,0.17359
9249,60,5416.666667,9000,0.21474
9250,60,8500.0,4000,0.35838
9251,36,4416.666667,5000,0.14942
9252,36,6372.75,25000,0.15223
9253,36,3333.333333,2000,0.30564
9254,60,3500.0,10000,0.27257
9255,36,1833.333333,2000,0.37453
9256,36,8333.333333,9000,0.09939
9257,36,4666.666667,15000,0.22108
9258,36,5000.0,5000,0.24246
9259,36,22500.0,3000,0.28771
9260,36,9583.333333,9000,0.12851
9261,36,2500.0,5500,0.22362
9262,36,2250.0,4000,0.30899
9263,36,6250.0,20000,0.18977
9264,60,9833.333333,15000,0.20358
9265,60,4416.666667,7500,0.14682
9266,36,3943.416667,16500,0.24758
9267,36,8166.666667,17500,0.19029
9268,36,2083.333333,4000,0.35797
9269,12,2750.0,2500,0.35843
9270,36,9166.666667,4000,0.13301
9271,60,6375.0,11000,0.09205
9272,36,10416.666667,14500,0.17576
9273,36,5416.666667,15000,0.22712
9274,60,20833.333333,8000,0.13084
9275,36,6000.0,6000,0.17671
9276,36,625.0,2000,0.15904
9277,36,5000.0,4000,0.19236
9278,60,7000.0,22500,0.12992
9279,36,3750.0,4000,0.35797
9280,36,2500.0,2000,0.34588
9281,36,2500.0,2000,0.34588
9282,60,12916.666667,25000,0.18555
9283,36,3000.0,5000,0.35643
9284,36,1250.0,2000,0.35643
9285,36,13166.666667,15000,0.16678
9286,60,5833.333333,20000,0.26528
9287,36,3333.333333,5000,0.13705
9288,36,5333.333333,2500,0.35797
9289,36,7083.333333,2500,0.32436
9290,36,10416.666667,15000,0.25781
9291,60,3500.0,15000,0.31375
9292,36,1666.666667,6000,0.15377
9293,60,7575.166667,25000,0.16713
9294,36,6250.0,5000,0.10682
9295,60,3333.333333,10000,0.17839
9296,36,5833.333333,7100,0.10542
9297,36,2000.0,3000,0.13625
9298,36,3916.666667,2400,0.14236
9299,36,2083.333333,1000,0.30962
9300,60,5833.333333,4000,0.31848
9301,36,4791.666667,2000,0.34887
9302,36,7500.0,10000,0.2129
9303,60,10416.666667,25000,0.17327
9304,60,13500.0,25000,0.21935
9305,36,1846.0,2000,0.20209
9306,36,2666.666667,9000,0.22812
9307,36,3500.0,5000,0.14358
9308,36,1666.666667,4000,0.28032
9309,36,4416.666667,5500,0.2129
9310,36,5666.666667,8600,0.13814
9311,36,5470.666667,3500,0.33051
9312,36,9916.666667,4000,0.35797
9313,36,3616.666667,1000,0.32378
9314,36,4500.0,4000,0.34887
9315,36,15000.0,25000,0.09837
9316,36,1250.0,2500,0.30532
9317,60,1210.5,15000,0.31344
9318,36,9583.333333,15000,0.26047
9319,36,6666.666667,4000,0.33215
9320,60,4195.0,10000,0.27637
9321,36,8750.0,4000,0.2951
9322,36,4966.666667,12000,0.18725
9323,36,5458.333333,15000,0.14348
9324,36,7600.0,10000,0.14964
9325,36,1262.5,10000,0.12399
9326,36,5000.0,12000,0.25024
9327,36,2500.0,4000,0.35797
9328,36,6666.666667,4000,0.2951
9329,36,5750.0,2000,0.124
9330,36,5833.333333,3300,0.30532
9331,36,4030.0,7000,0.30532
9332,36,6666.666667,12000,0.12691
9333,36,18333.333333,10000,0.30532
9334,36,6250.0,5400,0.22712
9335,36,4750.0,5000,0.2951
9336,36,6233.333333,2000,0.27467
9337,36,6750.0,8000,0.21372
9338,36,11250.0,20000,0.23131
9339,36,13583.333333,24500,0.11766
9340,60,6250.0,20000,0.24282
9341,36,1300.0,1200,0.15438
9342,36,11666.666667,15000,0.18454
9343,60,9583.333333,25000,0.19221
9344,36,3000.0,4000,0.34117
9345,36,3405.583333,1200,0.40243
9346,60,4583.333333,4000,0.31375
9347,36,1250.0,4000,0.12691
9348,36,7208.333333,5000,0.08684
9349,60,5666.666667,13000,0.13227
9350,36,6916.666667,18000,0.11766
9351,60,7916.666667,25000,0.20372
9352,60,5584.166667,7000,0.18197
9353,36,5000.0,2000,0.22429
9354,60,5726.0,13500,0.17849
9355,60,3833.333333,13500,0.16713
9356,36,3666.666667,4000,0.18504
9357,36,3825.0,4200,0.09434
9358,60,2583.333333,8000,0.25451
9359,36,5083.333333,5500,0.17359
9360,60,10333.333333,5000,0.27462
9361,36,4000.0,15000,0.21342
9362,36,2916.666667,7000,0.09837
9363,36,7882.25,4000,0.22456
9364,36,2916.666667,3500,0.31363
9365,36,3000.0,9000,0.30532
9366,60,9166.666667,20000,0.1963
9367,36,4666.666667,4000,0.3179
9368,36,9166.666667,4000,0.11296
9369,60,5833.333333,14000,0.12716
9370,60,4166.666667,10000,0.17839
9371,36,2916.666667,3208,0.23939
9372,60,6250.0,8000,0.23318
9373,36,4250.0,1000,0.13583
9374,36,5833.333333,10000,0.15538
9375,36,4166.666667,3500,0.38058
9376,36,4291.666667,8000,0.10039
9377,60,9166.666667,12500,0.19364
9378,36,5416.666667,15000,0.27776
9379,36,4250.0,2000,0.27285
9380,60,5833.333333,20000,0.13636
9381,36,3333.333333,3000,0.16466
9382,36,2083.333333,1000,0.17626
9383,36,4166.666667,15000,0.27767
9384,36,4291.666667,1000,0.20037
9385,36,8333.333333,7500,0.19218
9386,36,2028.0,7800,0.12198
9387,36,3016.666667,10000,0.14974
9388,36,3750.0,5000,0.10943
9389,36,2209.083333,5000,0.14709
9390,36,6000.0,6000,0.17192
9391,36,5000.0,15000,0.17754
9392,36,1737.0,4000,0.20462
9393,36,13750.0,19000,0.06828
9394,12,9500.0,3500,0.06589
9395,36,16250.0,3000,0.33973
9396,36,6250.0,10000,0.14348
9397,36,2065.25,2500,0.18425
9398,60,8000.0,25000,0.14658
9399,36,11666.666667,7500,0.38723
9400,36,15281.0,15000,0.09837
9401,36,7916.666667,4000,0.30285
9402,36,3000.0,15000,0.25259
9403,36,7416.666667,5000,0.20666
9404,36,4333.333333,1800,0.30339
9405,36,4166.666667,1860,0.30564
9406,36,3759.166667,17500,0.13956
9407,36,16666.666667,13000,0.18987
9408,60,5666.666667,10500,0.28848
9409,36,6333.333333,4000,0.33973
9410,36,0.083333,4000,0.28771
9411,60,0.0,16500,0.14766
9412,60,8000.0,7500,0.30234
9413,60,5000.0,5000,0.09826
9414,60,5250.0,8100,0.26877
9415,36,5083.333333,2000,0.12866
9416,36,2833.333333,7500,0.21739
9417,36,3583.333333,6500,0.2951
9418,36,3095.416667,2000,0.35797
9419,36,4166.666667,5594,0.35643
9420,36,14583.333333,5000,0.2951
9421,60,7000.0,8000,0.21566
9422,60,12500.0,25000,0.16969
9423,36,1000.0,5000,0.26681
9424,36,6666.666667,10000,0.09736
9425,36,4000.0,7000,0.22362
9426,36,5166.666667,4000,0.19501
9427,60,5416.666667,6500,0.18197
9428,36,11250.0,2000,0.09217
9429,36,3916.666667,4000,0.35797
9430,60,4583.333333,15000,0.14965
9431,36,9583.333333,4000,0.33553
9432,36,4333.333333,8000,0.29537
9433,36,5833.333333,8000,0.09613
9434,36,3769.166667,4000,0.28544
9435,36,5000.0,6000,0.3593
9436,36,8333.333333,4000,0.35797
9437,36,1833.333333,1000,0.11658
9438,36,5916.666667,4000,0.1709
9439,36,9833.333333,25000,0.11766
9440,36,6375.0,25000,0.1202
9441,36,5000.0,15000,0.13799
9442,60,3750.0,6500,0.17061
9443,60,6166.666667,15000,0.25718
9444,36,2149.333333,10000,0.16516
9445,36,4166.666667,2000,0.08203
9446,60,5666.666667,15000,0.2893
9447,36,2250.0,5000,0.14328
9448,36,5500.0,5000,0.11548
9449,60,4844.416667,4000,0.35838
9450,36,9583.333333,3000,0.08829
9451,60,5416.666667,15000,0.15868
9452,60,4333.333333,15000,0.21115
9453,36,1666.666667,4000,0.35797
9454,36,0.0,2000,0.12877
9455,60,6666.666667,25000,0.19681
9456,60,6250.0,11000,0.27637
9457,60,6833.333333,25000,0.15271
9458,36,6229.833333,10000,0.30781
9459,36,3131.583333,10000,0.17138
9460,36,2916.666667,3500,0.23375
9461,60,3166.666667,10000,0.17685
9462,36,2916.666667,1500,0.2832
9463,60,4583.333333,13000,0.2968
9464,60,6666.666667,9000,0.21566
9465,36,5416.666667,4500,0.2837
9466,36,3083.333333,3000,0.11296
9467,36,3136.083333,2000,0.06327
9468,12,5416.666667,10000,0.21649
9469,36,2916.666667,5000,0.12274
9470,36,6250.0,8000,0.19906
9471,36,1863.333333,3000,0.21237
9472,60,8333.333333,7500,0.24856
9473,36,2000.0,2550,0.25757
9474,36,3000.0,2500,0.15613
9475,36,10833.333333,5000,0.10386
9476,36,2166.666667,5000,0.19642
9477,36,3558.333333,4000,0.33973
9478,36,5416.666667,6000,0.12449
9479,60,4416.666667,7000,0.20347
9480,36,2750.0,1000,0.24254
9481,36,2416.666667,3500,0.33393
9482,36,8833.333333,19000,0.1802
9483,36,6250.0,15000,0.25781
9484,36,5416.666667,1000,0.25903
9485,60,9872.583333,15000,0.25718
9486,36,4333.333333,13000,0.20524
9487,36,8583.333333,21000,0.13799
9488,36,2621.75,3000,0.09035
9489,36,4583.333333,9000,0.20232
9490,36,6083.333333,2850,0.13654
9491,36,3333.333333,3000,0.35356
9492,60,20833.333333,25000,0.14658
9493,36,1416.666667,6000,0.18224
9494,36,8750.0,5000,0.37453
9495,36,7186.166667,4000,0.33553
9496,36,17500.0,7500,0.25781
9497,36,4166.666667,1500,0.2239
9498,60,4583.333333,6000,0.24302
9499,36,7500.0,15000,0.27285
9500,36,8333.333333,5250,0.28771
9501,36,7071.25,5000,0.2706
9502,60,9500.0,25000,0.17849
9503,60,12500.0,15000,0.23318
9504,60,3333.333333,8000,0.24754
9505,36,2200.0,2000,0.24691
9506,36,5416.666667,20000,0.22354
9507,36,7500.0,9500,0.14751
9508,36,2083.333333,1350,0.11649
9509,36,0.0,1000,0.33393
9510,36,3333.333333,7500,0.20524
9511,36,4333.333333,10000,0.23131
9512,60,6250.0,15000,0.18913
9513,60,6666.666667,13000,0.27462
9514,36,6000.0,15000,0.17359
9515,36,4500.0,15000,0.23438
9516,36,7241.666667,5000,0.29254
9517,12,4166.666667,1000,0.04935
9518,36,12500.0,25000,0.22773
9519,36,16666.666667,2000,0.28966
9520,60,29083.333333,20000,0.25861
9521,36,2916.666667,1500,0.28838
9522,36,2000.0,5000,0.22456
9523,36,5083.333333,15000,0.21699
9524,60,0.0,10000,0.20358
9525,36,5000.0,15000,0.21699
9526,60,10833.333333,15000,0.25471
9527,36,3833.333333,5000,0.26681
9528,36,2843.75,1500,0.22237
9529,36,3166.666667,8000,0.20562
9530,36,2083.333333,2000,0.24246
9531,36,3769.666667,2500,0.25268
9532,36,4166.666667,3000,0.13524
9533,60,6000.0,6000,0.23052
9534,60,2833.333333,4000,0.32393
9535,60,8400.0,15000,0.17532
9536,60,7083.333333,12000,0.15425
9537,12,2500.0,2800,0.34105
9538,36,4797.0,15000,0.11194
9539,36,6550.0,4950,0.16918
9540,36,7166.666667,7500,0.35244
9541,36,2333.333333,6500,0.35132
9542,12,3333.333333,10000,0.11066
9543,36,4333.333333,1000,0.32561
9544,36,2583.333333,2000,0.13882
9545,36,4500.0,4000,0.25259
9546,36,6500.0,23850,0.12528
9547,60,14166.666667,15000,0.27041
9548,12,6258.333333,8800,0.158
9549,36,2700.0,2000,0.33665
9550,36,3166.666667,7000,0.16324
9551,36,4416.666667,3000,0.1019
9552,60,11250.0,10000,0.25102
9553,36,4333.333333,3000,0.35643
9554,36,5833.333333,4000,0.35132
9555,36,2513.0,2500,0.24406
9556,60,9666.666667,15000,0.11695
9557,60,4500.0,5000,0.18197
9558,36,9583.333333,12500,0.16056
9559,36,5833.333333,20000,0.09469
9560,36,4666.666667,3500,0.08684
9561,36,4166.666667,1500,0.25517
9562,36,4666.666667,12000,0.26047
9563,36,8782.083333,5000,0.19645
9564,36,833.333333,1000,0.09678
9565,36,4166.666667,4000,0.30899
9566,36,5000.0,7500,0.32576
9567,36,3750.0,5000,0.35643
9568,36,9166.666667,5000,0.1708
9569,60,6833.333333,15000,0.18913
9570,36,6666.666667,15000,0.16361
9571,12,10390.5,2000,0.15077
9572,60,8333.333333,8500,0.30008
9573,60,2916.666667,6500,0.28078
9574,36,6666.666667,5900,0.0799
9575,36,3666.666667,10000,0.17601
9576,36,4500.0,2500,0.23939
9577,36,6916.666667,4000,0.35797
9578,36,2916.666667,2000,0.35797
9579,36,3750.0,2500,0.22362
9580,36,2437.5,10000,0.12926
9581,36,5583.333333,15000,0.29537
9582,36,11333.333333,4500,0.26681
9583,36,3333.333333,7000,0.21739
9584,36,2083.333333,8200,0.16215
9585,36,2666.666667,10000,0.14348
9586,36,3000.0,5660,0.16732
9587,36,3833.333333,3500,0.1709
9588,36,2500.0,3500,0.29776
9589,36,5608.333333,5950,0.23748
9590,36,4333.333333,2000,0.10375
9591,36,3333.333333,10000,0.25013
9592,36,9952.75,12500,0.16732
9593,36,6000.0,4000,0.34577
9594,60,8465.0,10000,0.27637
9595,36,1666.666667,4150,0.21434
9596,36,5000.0,2500,0.08684
9597,36,833.333333,3000,0.29265
9598,36,2916.666667,4000,0.202
9599,36,4083.333333,1500,0.09397
9600,60,12958.333333,11500,0.17061
9601,36,5833.333333,10000,0.30899
9602,60,4346.333333,12500,0.17849
9603,36,6250.0,2000,0.31308
9604,60,4333.333333,15000,0.20347
9605,36,4833.333333,10000,0.08925
9606,60,6875.0,25000,0.22693
9607,36,4166.666667,6000,0.26917
9608,36,4500.0,5000,0.13734
9609,60,4486.666667,15000,0.14453
9610,36,2083.333333,5000,0.13002
9611,36,4000.0,5500,0.24205
9612,36,6250.0,20000,0.14751
9613,36,12083.333333,2000,0.2796
9614,36,16666.666667,7500,0.31053
9615,36,3050.0,1000,0.16296
9616,36,2916.666667,14701,0.2951
9617,36,2416.666667,5000,0.29776
9618,36,2666.666667,2500,0.19765
9619,36,4125.833333,1700,0.18183
9620,36,1000.0,4000,0.09688
9621,36,0.0,6700,0.16436
9622,36,6416.666667,6000,0.25259
9623,36,5012.5,10500,0.21945
9624,60,3500.0,10000,0.26128
9625,36,4916.666667,10000,0.29363
9626,36,7800.0,4000,0.3179
9627,36,8075.166667,15000,0.17611
9628,36,8233.333333,5000,0.18183
9629,36,0.0,5000,0.35643
9630,36,3666.666667,10000,0.2951
9631,36,3083.333333,10000,0.1954
9632,60,5416.666667,9000,0.24252
9633,60,10416.666667,14000,0.27322
9634,36,4643.916667,5500,0.09688
9635,60,4250.0,15000,0.20358
9636,36,8333.333333,4000,0.33973
9637,36,8416.666667,5000,0.2951
9638,36,6750.0,4000,0.35797
9639,36,5528.083333,5500,0.08325
9640,36,6668.916667,1000,0.06698
9641,36,12500.0,15000,0.08684
9642,36,4666.666667,20000,0.15211
9643,36,2666.666667,1000,0.41355
9644,36,4916.666667,4000,0.17722
9645,36,5625.0,3200,0.23698
9646,36,2916.666667,2500,0.32317
9647,60,6544.083333,18500,0.17327
9648,60,4549.083333,11500,0.12716
9649,60,13416.666667,8000,0.2816
9650,36,5325.0,4000,0.38058
9651,36,3833.333333,15000,0.23898
9652,36,2800.0,3000,0.22415
9653,36,7500.0,15000,0.09065
9654,36,5000.0,12000,0.21648
9655,36,4500.0,5000,0.18214
9656,36,6833.333333,3000,0.19029
9657,36,3333.333333,4950,0.23246
9658,36,2640.0,3500,0.29776
9659,36,4333.333333,6000,0.08641
9660,36,3333.333333,8000,0.15683
9661,36,3583.333333,10000,0.14714
9662,36,5666.666667,6001,0.14709
9663,36,3750.0,10000,0.27285
9664,60,6250.0,15000,0.23477
9665,36,4416.666667,2500,0.35643
9666,36,2000.0,1500,0.1209
9667,36,6250.0,1700,0.12832
9668,36,5416.666667,6302,0.35643
9669,36,8000.0,25000,0.17611
9670,36,2916.666667,10000,0.20053
9671,36,10583.333333,15000,0.24205
9672,36,18333.333333,15000,0.08829
9673,36,6250.0,11500,0.07992
9674,36,2600.0,4950,0.24138
9675,36,0.0,1000,0.22237
9676,60,4750.0,10000,0.28899
9677,36,6250.0,1000,0.30968
9678,12,8666.666667,3000,0.35843
9679,36,5962.5,20000,0.18671
9680,36,3750.0,1000,0.09678
9681,60,4750.0,15000,0.13227
9682,36,4000.0,4000,0.35643
9683,36,5833.333333,20000,0.17601
9684,36,4166.666667,12000,0.202
9685,36,8000.0,10000,0.14714
9686,36,2916.666667,2000,0.30349
9687,60,6250.0,10949,0.23656
9688,36,3333.333333,3500,0.22135
9689,60,2955.25,4000,0.28129
9690,36,10000.0,2000,0.18725
9691,36,4666.666667,3200,0.30564
9692,12,10416.666667,8000,0.23065
9693,36,4166.666667,6500,0.16858
9694,36,9714.333333,21000,0.23939
9695,36,3083.333333,2000,0.17359
9696,36,12500.0,8500,0.18967
9697,36,14371.0,25000,0.21337
9698,12,4166.666667,7500,0.35843
9699,36,5788.5,2500,0.21699
9700,36,6163.666667,8000,0.29486
